source,target,fsa_pa_similarity,fsa_grassmann,fsa_chordal,fsa_sa_error,fsa_sa_frob,fsa_angle_min,fsa_angle_mean,fsa_angle_max,fsa_n_aligned_dirs,fsa_rank,fsa_random_baseline,fsa_excess_over_random,gsa_ent_pa_similarity,gsa_ent_grassmann,gsa_ent_chordal,gsa_ent_sa_error,gsa_ent_sa_frob,gsa_ent_angle_min,gsa_ent_angle_mean,gsa_ent_angle_max,gsa_ent_n_aligned_dirs,gsa_ent_random_baseline,gsa_ent_excess_over_random,gsa_pse_pa_similarity,gsa_pse_grassmann,gsa_pse_chordal,gsa_pse_sa_error,gsa_pse_sa_frob,gsa_pse_angle_min,gsa_pse_angle_mean,gsa_pse_angle_max,gsa_pse_n_aligned_dirs,gsa_pse_random_baseline,gsa_pse_excess_over_random,gsa_ora_pa_similarity,gsa_ora_grassmann,gsa_ora_chordal,gsa_ora_sa_error,gsa_ora_sa_frob,gsa_ora_angle_min,gsa_ora_angle_mean,gsa_ora_angle_max,gsa_ora_n_aligned_dirs,gsa_ora_random_baseline,gsa_ora_excess_over_random,subspace_failed
kermany_peds,kermany_peds,0.9999999999999994,1.3328003749250113e-07,1.3328003749250113e-07,6.196494188928965e-15,0.9999999999999998,0.0,1.908596291208712e-08,4.712160915387242e-08,32.0,32.0,0.0625,0.9374999999999994,0.778501860378304,3.2206645880007314,2.6623186262906757,2.6623186262906793,0.7785018603783035,0.03358069990249552,0.4327686195679403,1.4734917723397176,26.0,0.006944444444444444,0.7715574159338596,0.9999999999999996,1.255594160136038e-07,1.1920928955078125e-07,7.963709698585237e-15,0.9999999999999998,0.0,1.554675389683495e-08,4.712160915387242e-08,32.0,0.006944444444444444,0.9930555555555551,0.9999999999999996,1.255594160136038e-07,1.1920928955078125e-07,7.963709698585237e-15,0.9999999999999998,0.0,1.554675389683495e-08,4.712160915387242e-08,32.0,0.006944444444444444,0.9930555555555551,0
kermany_peds,covid_viral,0.6521128123002278,4.210701060935953,3.3365236409162025,3.3365236409162025,0.6521128123002278,0.010653471333152377,0.5891870558928861,1.520390449476292,22.0,32.0,0.0625,0.5896128123002278,0.37457310381063347,5.8343891005080994,4.473663004525456,4.473663004525456,0.37457310381063336,0.23529125516948052,0.9573870424054475,1.559692203679575,12.0,0.006944444444444444,0.36762865936618905,0.34663586645354705,5.985942137612375,4.572488630219489,4.572488630219489,0.34663586645354705,0.2742763448503975,0.9907579538284625,1.5693421924823645,10.0,0.006944444444444444,0.33969142200910263,0.3610846533372039,5.835852538341251,4.521646944776812,4.521646944776812,0.36108465333720396,0.3141895163262942,0.9706463735456201,1.5549775673516608,11.0,0.006944444444444444,0.3541402088927595,0
kermany_peds,covid_opacity,0.6234036986052582,4.290167553452077,3.4714667857595494,3.471466785759549,0.6234036986052583,0.036890108095141365,0.6440228890528307,1.4988567213056245,22.0,32.0,0.0625,0.5609036986052582,0.39618348561710487,5.610101211146931,4.395694309236329,4.39569430923633,0.3961834856171048,0.2958506818065917,0.9260017832699614,1.5387856886111235,13.0,0.006944444444444444,0.38923904117266045,0.34154878618409745,5.968117471010357,4.590254768758362,4.590254768758362,0.3415487861840974,0.3178130973677679,0.9944328454469602,1.5581725249554317,10.0,0.006944444444444444,0.33460434173965303,0.36942819049110504,5.812697187038932,4.49202603557511,4.492026035575111,0.3694281904911049,0.29040086337846743,0.9611726196791108,1.5628984120636278,11.0,0.006944444444444444,0.3624837460466606,0
kermany_peds,covid_covid,0.5950831181823917,4.519948992366318,3.5996305669003683,3.5996305669003696,0.5950831181823916,0.032467502542858,0.6787627086902622,1.5651333907379326,20.0,32.0,0.0625,0.5325831181823917,0.3789468758531462,5.753477306152192,4.4579928188254545,4.457992818825454,0.3789468758531461,0.2914179445530616,0.9503344381111443,1.5572012091453789,12.0,0.006944444444444444,0.37200243140870176,0.35031507179255117,5.9191981898231525,4.559596221447505,4.559596221447505,0.3503150717925513,0.32267608248365,0.984423527613849,1.5334446000112063,11.0,0.006944444444444444,0.34337062734810675,0.3656115007131541,5.8656260342103215,4.505600068490219,4.505600068490219,0.3656115007131541,0.3056884210499348,0.9691126254533344,1.5645989086393992,11.0,0.006944444444444444,0.3586670562687097,0
kermany_peds,tb_qatar,0.5009668020100494,5.126615014819886,3.9961309207380107,3.99613092073801,0.5009668020100497,0.06149476437501502,0.7948674624731,1.5588794243341726,16.0,32.0,0.0625,0.4384668020100494,0.3603158080817827,5.893238559598166,4.5243667116385415,4.524366711638542,0.3603158080817827,0.3072028682406265,0.9747494084709317,1.5696583330579887,11.0,0.006944444444444444,0.3533713636373383,0.35266426888675373,5.941666487472492,4.551345229228813,4.551345229228812,0.3526642688867538,0.3001455009325968,0.9842335845501009,1.5548972994963455,11.0,0.006944444444444444,0.3457198244423093,0.3500280324795756,5.9285657911328595,4.560603354892155,4.560603354892155,0.35002803247957565,0.31726833307615837,0.9854584247290971,1.5686871798151976,10.0,0.006944444444444444,0.34308358803513117,0
kermany_peds,shenzhen,0.40997035864476067,5.688822607342874,4.3452213434263225,4.3452213434263225,0.40997035864476083,0.06158012500963108,0.9035907511406092,1.5575347742941363,13.0,32.0,0.0625,0.34747035864476067,0.3172124209535351,6.142297772976973,4.674313054287964,4.674313054287964,0.317212420953535,0.3299454315630633,1.0265273038098408,1.5556705026918487,9.0,0.006944444444444444,0.31026797650909066,0.2965706464641038,6.2327614858407,4.744442992928535,4.744442992928535,0.296570646464104,0.3482512837029101,1.0488507077189722,1.5613568559344044,8.0,0.006944444444444444,0.2896262020196594,0.33600376740513116,6.056320942087006,4.609542216211476,4.609542216211476,0.3360037674051313,0.3241212070277846,1.006200924075406,1.5654011559350698,10.0,0.006944444444444444,0.32905932296068674,0
kermany_peds,nih_pa,0.4882288883445239,5.164952081949855,4.046810543251961,4.046810543251961,0.4882288883445237,0.06257780709062524,0.8084581972078144,1.5381716003168193,15.0,32.0,0.0625,0.4257288883445239,0.3574902579350239,5.905195531185959,4.534347995696761,4.53434799569676,0.35749025793502404,0.31445250907154726,0.9780980738937073,1.5663603405243562,11.0,0.006944444444444444,0.3505458134905795,0.3459763700200175,5.965348650353771,4.574795750561924,4.574795750561925,0.34597637002001747,0.3217392085964668,0.9910877118338274,1.5619811017031242,11.0,0.006944444444444444,0.3390319255755731,0.3597820911101649,5.900178276755867,4.52625375829446,4.52625375829446,0.3597820911101648,0.28553974976724195,0.9745778194951619,1.558071949230111,11.0,0.006944444444444444,0.3528376466657205,0
kermany_peds,nih_ap,0.5714992792253608,4.566652712297073,3.702974893891188,3.7029748938911906,0.5714992792253606,0.08689525761061974,0.708267968323076,1.5438594888926886,20.0,32.0,0.0625,0.5089992792253608,0.37662291050519103,5.779038099620043,4.466325879717454,4.466325879717451,0.3766229105051911,0.3187877080228081,0.9544119188118056,1.549739828736981,12.0,0.006944444444444444,0.3696784660607466,0.34065633674067264,5.973073369783841,4.593364477624052,4.593364477624052,0.3406563367406727,0.33391496922165276,0.9955118022402867,1.549447563328051,10.0,0.006944444444444444,0.3337118922962282,0.3381006105292143,5.971273833560298,4.602258191699499,4.602258191699495,0.3381006105292145,0.30104895372931273,0.9968602009410169,1.5658524881148304,10.0,0.006944444444444444,0.3311561660847699,0
kermany_peds,indiana,0.49417178302863485,5.159714762318668,4.023245324745147,4.023245324745148,0.4941717830286348,0.0583950306211466,0.8030716819854067,1.5650696796784067,17.0,32.0,0.0625,0.43167178302863485,0.3593793773193447,5.859994857571541,4.527677100432513,4.5276771004325145,0.3593793773193446,0.3136756970383201,0.9729356975726091,1.5655730541391073,10.0,0.006944444444444444,0.3524349328749003,0.34338745343419164,5.933873800769428,4.583841346524317,4.583841346524317,0.34338745343419175,0.34167910287015096,0.9907771220765818,1.53666361366662,10.0,0.006944444444444444,0.3364430089897472,0.362116277403696,5.912002837606059,4.517995033538852,4.517995033538851,0.362116277403696,0.3052427515706283,0.9750515919234779,1.5692639393625454,12.0,0.006944444444444444,0.3551718329592516,0
covid_viral,kermany_peds,0.5360845942356103,5.114022088073577,3.852958990757684,3.8529589907576827,0.5360845942356106,0.00880222359719326,0.7255122096541259,1.5703961456238584,16.0,32.0,0.0625,0.4735845942356103,0.6852586384683838,3.991881791209922,3.1735978902519646,3.1735978902519664,0.6852586384683834,0.05920863870356026,0.561893162552336,1.5680931145824457,24.0,0.006944444444444444,0.6783141940239393,0.551194457402673,4.8256210271476805,3.789693571136651,3.789693571136651,0.551194457402673,0.09073852230843901,0.7311332146333936,1.5510493516845578,19.0,0.006944444444444444,0.5442500129582286,0.621153102739711,4.3898716469051555,3.4818243367994954,3.481824336799496,0.6211531027397109,0.09257585273156968,0.6437004755921123,1.509328238246841,22.0,0.006944444444444444,0.6142086582952666,0
