feature_set,model,r2,rmse,spearman,kendall,n,p_value
unsupervised,mean,-0.1205799653982138,0.1514388587244047,-0.42154178071584425,-0.303890904994563,72,
unsupervised,ridge,-1.237673311221938,0.21400023107248847,0.373914721203936,0.26682316118935834,72,0.995
unsupervised,gbm,0.2605277401228505,0.12302031781078213,0.5788475143096019,0.4170579029733959,72,
supervised,mean,-0.1205799653982138,0.1514388587244047,-0.42154178071584425,-0.303890904994563,72,
supervised,ridge,-0.0799715501062992,0.14866956089982095,0.2683773876133514,0.18544600938967135,72,0.765
supervised,gbm,0.08324198819088857,0.13697561476880854,0.35732201427744553,0.25273865414710484,72,
combined,mean,-0.1205799653982138,0.1514388587244047,-0.42154178071584425,-0.303890904994563,72,
combined,ridge,0.30440540347784906,0.11931471304761485,0.5774004759148499,0.42175273865414703,72,0.0
combined,gbm,0.4164205290441554,0.1092863456770579,0.7249662357707892,0.5579029733959311,72,
