feature_set,model,r2,rmse,spearman,kendall,n,p_value
unsupervised,mean,-0.14425449931329526,0.1638867596650178,-0.5050259179388152,-0.3742230170121196,72,
unsupervised,ridge,-0.3690537572954662,0.17926388528284046,-0.02615944883556809,-0.01760907879527778,72,0.96
unsupervised,gbm,-0.9196329304193325,0.2122714809580857,-0.14444774943991623,-0.09039327114909261,72,
supervised,mean,-0.14425449931329526,0.1638867596650178,-0.5050259179388152,-0.3742230170121196,72,
supervised,ridge,0.7172991614819602,0.08146031825200943,0.5697518309386544,0.35413814021614204,72,0.0
supervised,gbm,0.9204385946692543,0.04321492632995019,0.7956363402754069,0.6358834009405866,72,
combined,mean,-0.14425449931329526,0.1638867596650178,-0.5050259179388152,-0.3742230170121196,72,
combined,ridge,0.7889611641377868,0.07038234708181669,0.6443713773712737,0.4425748470546482,72,0.0
combined,gbm,0.9435064303200126,0.03641514661958975,0.8251400825085151,0.6546664183222161,72,
