source,target,zeroshot_auc,zeroshot_auprc,zeroshot_balanced_acc,zeroshot_brier,probe_auc,probe_auprc,probe_balanced_acc,auc_source_on_source,pair_failed,pred_entropy_mean,pred_entropy_std,pred_conf_mean,pred_conf_std,pred_frac_confident,pred_positive_rate,pred_prob_mean,pred_prob_std,pseudo_silhouette,pseudo_davies_bouldin,pseudo_fisher,pseudo_collapsed,pseudo_minority_rate,tgt_kmeans_silhouette,tgt_kmeans_balance,tgt_kmeans_inertia_ratio,tgt_eff_rank,tgt_spec_decay,tgt_feat_norm_mean,tgt_feat_norm_std,src_eff_rank,src_spec_decay,src_feat_norm_mean,src_feat_norm_std,mmd,coral,frechet,a_distance,mean_cosine,mean_shift,norm_ratio,delta_eff_rank,delta_spec_decay,delta_feat_norm_mean,fsa_pa_similarity,fsa_grassmann,fsa_chordal,fsa_sa_error,fsa_sa_frob,fsa_angle_min,fsa_angle_mean,fsa_angle_max,fsa_n_aligned_dirs,fsa_rank,fsa_random_baseline,fsa_excess_over_random,gsa_ent_pa_similarity,gsa_ent_grassmann,gsa_ent_chordal,gsa_ent_sa_error,gsa_ent_sa_frob,gsa_ent_angle_min,gsa_ent_angle_mean,gsa_ent_angle_max,gsa_ent_n_aligned_dirs,gsa_ent_random_baseline,gsa_ent_excess_over_random,gsa_pse_pa_similarity,gsa_pse_grassmann,gsa_pse_chordal,gsa_pse_sa_error,gsa_pse_sa_frob,gsa_pse_angle_min,gsa_pse_angle_mean,gsa_pse_angle_max,gsa_pse_n_aligned_dirs,gsa_pse_random_baseline,gsa_pse_excess_over_random,gsa_ora_pa_similarity,gsa_ora_grassmann,gsa_ora_chordal,gsa_ora_sa_error,gsa_ora_sa_frob,gsa_ora_angle_min,gsa_ora_angle_mean,gsa_ora_angle_max,gsa_ora_n_aligned_dirs,gsa_ora_random_baseline,gsa_ora_excess_over_random,subspace_failed
kermany_peds,kermany_peds,0.9961741007461992,0.9980264405754142,0.9827834533578964,0.0105454062218045,0.994666815534342,0.9975269469127328,0.9754331118926663,0.9961741007461992,0,0.0076476731337606,0.0315937884151935,0.9983814358711244,0.0106724519282579,0.9976290832455216,0.7299789251844047,0.7295066118240356,0.442520797252655,0.6870197653770447,0.4970557675090026,3.301159143447876,0.0,0.2700210748155953,0.6858551502227783,0.526,0.2380714177847408,2.650808572769165,-1.4712636050939192,25.50297737121582,7.6266770362854,2.650808572769165,-1.4712635984238869,25.50297737121582,7.6266770362854,0.0011322067787192,6.255454452563201e-06,0.1309486229693358,0.0,0.9999170303344728,0.262955367565155,0.9981936812400818,0.0,6.670032526301384e-09,0.0,0.9999999999999994,1.3328003749250113e-07,1.3328003749250113e-07,6.196494188928965e-15,0.9999999999999998,0.0,1.908596291208712e-08,4.712160915387242e-08,32.0,32.0,0.0625,0.9374999999999994,0.778501860378304,3.2206645880007314,2.6623186262906757,2.6623186262906793,0.7785018603783035,0.03358069990249552,0.4327686195679403,1.4734917723397176,26.0,0.006944444444444444,0.7715574159338596,0.9999999999999996,1.255594160136038e-07,1.1920928955078125e-07,7.963709698585237e-15,0.9999999999999998,0.0,1.554675389683495e-08,4.712160915387242e-08,32.0,0.006944444444444444,0.9930555555555551,0.9999999999999996,1.255594160136038e-07,1.1920928955078125e-07,7.963709698585237e-15,0.9999999999999998,0.0,1.554675389683495e-08,4.712160915387242e-08,32.0,0.006944444444444444,0.9930555555555551,0
kermany_peds,covid_viral,0.9941629647526536,0.9845016351681192,0.91506646971935,0.0986330579502655,0.9999670534228748,0.9999166140488468,0.999261447562777,0.9961741007461992,0,0.1207684502005577,0.1981860548257827,0.9507526755332948,0.1029688268899917,0.8373983739837398,0.4159349593495935,0.4232600629329681,0.4559511840343475,0.4528926908969879,0.811199026176499,1.2157028913497925,0.0,0.4159349593495935,0.4556173086166382,0.905,0.4418403500939656,3.6867871284484863,-1.4457182201544163,22.17594337463379,6.9180402755737305,2.650808572769165,-1.4712635984238869,25.50297737121582,7.6266770362854,0.1903630682988797,0.0109835716833308,100.92343132133202,1.2224869007549195,0.8970850706100464,8.724308967590332,0.8739174604415894,-1.0359785556793213,-0.0255453782694701,3.3270339965820312,0.6521128123002278,4.210701060935953,3.3365236409162025,3.3365236409162025,0.6521128123002278,0.010653471333152377,0.5891870558928861,1.520390449476292,22.0,32.0,0.0625,0.5896128123002278,0.37457310381063347,5.8343891005080994,4.473663004525456,4.473663004525456,0.37457310381063336,0.23529125516948052,0.9573870424054475,1.559692203679575,12.0,0.006944444444444444,0.36762865936618905,0.34663586645354705,5.985942137612375,4.572488630219489,4.572488630219489,0.34663586645354705,0.2742763448503975,0.9907579538284625,1.5693421924823645,10.0,0.006944444444444444,0.33969142200910263,0.3610846533372039,5.835852538341251,4.521646944776812,4.521646944776812,0.36108465333720396,0.3141895163262942,0.9706463735456201,1.5549775673516608,11.0,0.006944444444444444,0.3541402088927595,0
kermany_peds,covid_opacity,0.9498844381651882,0.9695415941493112,0.8787056089948704,0.0893334329091967,0.9620270456536936,0.9788112941945728,0.8958109757898571,0.9961741007461992,0,0.1112656742334365,0.191308856010437,0.9545976519584656,0.1012109592556953,0.862,0.6554,0.6528576016426086,0.439928650856018,0.4944351315498352,0.8026084190211036,1.3247829675674438,0.0,0.3446,0.4897186756134033,0.629,0.4443500230501052,4.570650577545166,-1.3770129966917162,20.78117561340332,5.552557945251465,2.650808572769165,-1.4712635984238869,25.50297737121582,7.6266770362854,0.1378602029599006,0.0200451817163553,73.15730851031162,1.8649952100212448,0.9614129662513732,5.742444515228272,0.8237757086753845,-1.919842004776001,-0.0942506017321704,4.7218017578125,0.6234036986052582,4.290167553452077,3.4714667857595494,3.471466785759549,0.6234036986052583,0.036890108095141365,0.6440228890528307,1.4988567213056245,22.0,32.0,0.0625,0.5609036986052582,0.39618348561710487,5.610101211146931,4.395694309236329,4.39569430923633,0.3961834856171048,0.2958506818065917,0.9260017832699614,1.5387856886111235,13.0,0.006944444444444444,0.38923904117266045,0.34154878618409745,5.968117471010357,4.590254768758362,4.590254768758362,0.3415487861840974,0.3178130973677679,0.9944328454469602,1.5581725249554317,10.0,0.006944444444444444,0.33460434173965303,0.36942819049110504,5.812697187038932,4.49202603557511,4.492026035575111,0.3694281904911049,0.29040086337846743,0.9611726196791108,1.5628984120636278,11.0,0.006944444444444444,0.3624837460466606,0
kermany_peds,covid_covid,0.898771340016759,0.917547262277625,0.8229659468354686,0.1446378370116259,0.9851631987561964,0.9869982879217916,0.9361096808714704,0.9961741007461992,0,0.1518668532371521,0.2171907424926757,0.9359272718429564,0.1173786371946334,0.7981210399825213,0.4985798558007428,0.5014321804046631,0.4514512717723846,0.4230289161205292,0.8809719305103498,1.0945003032684326,0.0,0.4985798558007428,0.4295881986618042,0.922,0.4706807083802923,4.254324436187744,-1.4117696775214374,20.66460609436035,6.342560768127441,2.650808572769165,-1.4712635984238869,25.50297737121582,7.6266770362854,0.2027516704452383,0.0184422037551391,104.48449766244596,1.769992012798261,0.9141858816146852,8.099614143371582,0.8127846717834473,-1.603515863418579,-0.0594939209024492,4.838371276855469,0.5950831181823917,4.519948992366318,3.5996305669003683,3.5996305669003696,0.5950831181823916,0.032467502542858,0.6787627086902622,1.5651333907379326,20.0,32.0,0.0625,0.5325831181823917,0.3789468758531462,5.753477306152192,4.4579928188254545,4.457992818825454,0.3789468758531461,0.2914179445530616,0.9503344381111443,1.5572012091453789,12.0,0.006944444444444444,0.37200243140870176,0.35031507179255117,5.9191981898231525,4.559596221447505,4.559596221447505,0.3503150717925513,0.32267608248365,0.984423527613849,1.5334446000112063,11.0,0.006944444444444444,0.34337062734810675,0.3656115007131541,5.8656260342103215,4.505600068490219,4.505600068490219,0.3656115007131541,0.3056884210499348,0.9691126254533344,1.5645989086393992,11.0,0.006944444444444444,0.3586670562687097,0
kermany_peds,tb_qatar,0.8328469387755103,0.58194016563813,0.7678571428571429,0.1767263324601093,0.999234693877551,0.995911529354345,0.9857142857142858,0.9961741007461992,0,0.167315736413002,0.218946099281311,0.9304782152175904,0.1189189851284027,0.7783882783882784,0.2831501831501831,0.2931888103485107,0.3958312273025512,0.3659764230251312,0.9480750616595064,0.731397807598114,0.0,0.2831501831501831,0.3746951818466186,0.996,0.5178051350950341,4.868934631347656,-1.4084313118562888,21.491586685180664,6.549032688140869,2.650808572769165,-1.4712635984238869,25.50297737121582,7.6266770362854,0.3893630019502359,0.0281009336789164,219.06087375208384,1.9624859169940017,0.7889730334281921,12.571845054626465,0.8427914381027222,-2.218126058578491,-0.0628322865675978,4.011390686035156,0.5009668020100494,5.126615014819886,3.9961309207380107,3.99613092073801,0.5009668020100497,0.06149476437501502,0.7948674624731,1.5588794243341726,16.0,32.0,0.0625,0.4384668020100494,0.3603158080817827,5.893238559598166,4.5243667116385415,4.524366711638542,0.3603158080817827,0.3072028682406265,0.9747494084709317,1.5696583330579887,11.0,0.006944444444444444,0.3533713636373383,0.35266426888675373,5.941666487472492,4.551345229228813,4.551345229228812,0.3526642688867538,0.3001455009325968,0.9842335845501009,1.5548972994963455,11.0,0.006944444444444444,0.3457198244423093,0.3500280324795756,5.9285657911328595,4.560603354892155,4.560603354892155,0.35002803247957565,0.31726833307615837,0.9854584247290971,1.5686871798151976,10.0,0.006944444444444444,0.34308358803513117,0
kermany_peds,shenzhen,0.4723306544202066,0.5245418608628707,0.4902411021814007,0.4701703159464927,0.9005740528128587,0.9008283877868992,0.8405281285878301,0.9961741007461992,0,0.126566544175148,0.2073313593864441,0.9468093514442444,0.1088083088397979,0.8329466357308585,0.1136890951276102,0.1248738467693328,0.2660041153430938,0.3087267279624939,0.8302991496454613,0.3503043949604034,0.0,0.1136890951276102,0.4235969185829162,0.877030162412993,0.4533772404046876,3.59256649017334,-1.5991655763315882,24.37735176086425,7.983980178833008,2.650808572769165,-1.4712635984238869,25.50297737121582,7.6266770362854,0.5267384452591053,0.0342972361512241,390.08256146600496,1.951227424683006,0.6765212416648865,17.460128784179688,0.9558629989624025,-0.9417579174041748,0.1279019779077015,1.1256256103515625,0.40997035864476067,5.688822607342874,4.3452213434263225,4.3452213434263225,0.40997035864476083,0.06158012500963108,0.9035907511406092,1.5575347742941363,13.0,32.0,0.0625,0.34747035864476067,0.3172124209535351,6.142297772976973,4.674313054287964,4.674313054287964,0.317212420953535,0.3299454315630633,1.0265273038098408,1.5556705026918487,9.0,0.006944444444444444,0.31026797650909066,0.2965706464641038,6.2327614858407,4.744442992928535,4.744442992928535,0.296570646464104,0.3482512837029101,1.0488507077189722,1.5613568559344044,8.0,0.006944444444444444,0.2896262020196594,0.33600376740513116,6.056320942087006,4.609542216211476,4.609542216211476,0.3360037674051313,0.3241212070277846,1.006200924075406,1.5654011559350698,10.0,0.006944444444444444,0.32905932296068674,0
kermany_peds,nih_pa,0.6730908862733849,0.6077914958667974,0.6145468235969056,0.294541976661974,0.6460643437883773,0.5848611670284309,0.5982771139417518,0.9961741007461992,0,0.2014338821172714,0.2320938110351562,0.9137571454048156,0.1308660954236984,0.7352674524025385,0.2669990933816863,0.2890428602695465,0.3792334198951721,0.3216326236724853,0.9384911743075756,0.6176798939704895,0.0,0.2669990933816863,0.4033707976341247,0.807,0.4927293471318897,4.530689239501953,-1.4024318197882073,20.249313354492188,6.561431407928467,2.650808572769165,-1.4712635984238869,25.50297737121582,7.6266770362854,0.4606668393315288,0.0331049676236151,240.9454517441106,1.9649968496227743,0.7734826803207397,12.855420112609863,0.7978482842445374,-1.879880666732788,-0.0688317786356793,5.253664016723633,0.4882288883445239,5.164952081949855,4.046810543251961,4.046810543251961,0.4882288883445237,0.06257780709062524,0.8084581972078144,1.5381716003168193,15.0,32.0,0.0625,0.4257288883445239,0.3574902579350239,5.905195531185959,4.534347995696761,4.53434799569676,0.35749025793502404,0.31445250907154726,0.9780980738937073,1.5663603405243562,11.0,0.006944444444444444,0.3505458134905795,0.3459763700200175,5.965348650353771,4.574795750561924,4.574795750561925,0.34597637002001747,0.3217392085964668,0.9910877118338274,1.5619811017031242,11.0,0.006944444444444444,0.3390319255755731,0.3597820911101649,5.900178276755867,4.52625375829446,4.52625375829446,0.3597820911101648,0.28553974976724195,0.9745778194951619,1.558071949230111,11.0,0.006944444444444444,0.3528376466657205,0
kermany_peds,nih_ap,0.7059354547506206,0.6997913875496375,0.5948790545946944,0.3531563811445845,0.6481196528589892,0.6509005896735285,0.6057323403294967,0.9961741007461992,0,0.1333731263875961,0.2076687961816787,0.9441111087799072,0.111611284315586,0.8214037526059764,0.8401667824878388,0.8320205807685852,0.3153632879257202,0.4071007668972015,0.9593993452967672,0.5677139759063721,0.0,0.1598332175121612,0.3745234608650207,0.6087560806115357,0.5861375785990427,10.021566390991213,-1.339778426839028,20.315763473510746,3.2949435710906982,2.650808572769165,-1.4712635984238869,25.50297737121582,7.6266770362854,0.1839123799132872,0.0459255627438832,140.28060555492095,1.9874968671899336,0.955625593662262,5.871403217315674,0.7966036200523376,-7.370757818222046,-0.1314851715848586,5.187213897705078,0.5714992792253608,4.566652712297073,3.702974893891188,3.7029748938911906,0.5714992792253606,0.08689525761061974,0.708267968323076,1.5438594888926886,20.0,32.0,0.0625,0.5089992792253608,0.37662291050519103,5.779038099620043,4.466325879717454,4.466325879717451,0.3766229105051911,0.3187877080228081,0.9544119188118056,1.549739828736981,12.0,0.006944444444444444,0.3696784660607466,0.34065633674067264,5.973073369783841,4.593364477624052,4.593364477624052,0.3406563367406727,0.33391496922165276,0.9955118022402867,1.549447563328051,10.0,0.006944444444444444,0.3337118922962282,0.3381006105292143,5.971273833560298,4.602258191699499,4.602258191699495,0.3381006105292145,0.30104895372931273,0.9968602009410169,1.5658524881148304,10.0,0.006944444444444444,0.3311561660847699,0
kermany_peds,indiana,0.6574627512127512,0.7528982513916368,0.6094652344652345,0.3819341042900299,0.7318881381381381,0.8087892654715756,0.6571667821667821,0.9961741007461992,0,0.1931671500205993,0.2284288704395294,0.9190133810043336,0.1243691742420196,0.7303506650544136,0.3345425231761386,0.3366762101650238,0.4054198265075683,0.3453040719032287,0.9334782655969608,0.7633368968963623,0.0,0.3345425231761386,0.4256600439548492,0.794,0.4688835420784196,4.048893451690674,-1.4203429796434568,20.79145240783692,7.3533830642700195,2.650808572769165,-1.4712635984238869,25.50297737121582,7.6266770362854,0.364832054645944,0.0272666489535607,209.96839004369656,1.9624999707214013,0.7965686321258545,12.17286205291748,0.8113971948623657,-1.3980848789215088,-0.0509206187804298,4.711524963378906,0.49417178302863485,5.159714762318668,4.023245324745147,4.023245324745148,0.4941717830286348,0.0583950306211466,0.8030716819854067,1.5650696796784067,17.0,32.0,0.0625,0.43167178302863485,0.3593793773193447,5.859994857571541,4.527677100432513,4.5276771004325145,0.3593793773193446,0.3136756970383201,0.9729356975726091,1.5655730541391073,10.0,0.006944444444444444,0.3524349328749003,0.34338745343419164,5.933873800769428,4.583841346524317,4.583841346524317,0.34338745343419175,0.34167910287015096,0.9907771220765818,1.53666361366662,10.0,0.006944444444444444,0.3364430089897472,0.362116277403696,5.912002837606059,4.517995033538852,4.517995033538851,0.362116277403696,0.3052427515706283,0.9750515919234779,1.5692639393625454,12.0,0.006944444444444444,0.3551718329592516,0
covid_viral,kermany_peds,0.9858352407004224,0.991654134874892,0.953454660488658,0.0247299753103607,0.9946184335398872,0.9972343638711914,0.9707437801224436,0.9999011602686244,0,0.0417332835495471,0.1195591688156127,0.9843804836273192,0.0607715658843517,0.9567966280295048,0.7473656480505796,0.7461912631988525,0.4215536117553711,0.598648190498352,0.5684311248817323,1.9707380533218384,0.0,0.2526343519494204,0.6011581420898438,0.51,0.3314981811119863,2.667258977890014,-1.521881693070768,29.95524787902832,7.900742530822754,3.061985492706299,-1.5115258321414249,26.5628719329834,5.964169025421143,0.3435268780530193,0.0261472761882253,369.1412701536324,1.2174884583763728,0.7536588907241821,16.943410873413086,1.1250391006469729,0.3947265148162842,0.0103558609293432,-3.392375946044922,0.5360845942356103,5.114022088073577,3.852958990757684,3.8529589907576827,0.5360845942356106,0.00880222359719326,0.7255122096541259,1.5703961456238584,16.0,32.0,0.0625,0.4735845942356103,0.6852586384683838,3.991881791209922,3.1735978902519646,3.1735978902519664,0.6852586384683834,0.05920863870356026,0.561893162552336,1.5680931145824457,24.0,0.006944444444444444,0.6783141940239393,0.551194457402673,4.8256210271476805,3.789693571136651,3.789693571136651,0.551194457402673,0.09073852230843901,0.7311332146333936,1.5510493516845578,19.0,0.006944444444444444,0.5442500129582286,0.621153102739711,4.3898716469051555,3.4818243367994954,3.481824336799496,0.6211531027397109,0.09257585273156968,0.6437004755921123,1.509328238246841,22.0,0.006944444444444444,0.6142086582952666,0
