feature_set,model,r2,rmse,spearman,kendall,n,p_value
unsupervised,mean,-0.1008077598845889,0.1513334280285128,-0.4341290111139502,-0.3115093399387164,72,
unsupervised,ridge,0.2261807881659238,0.12688166898084738,0.5988488005659529,0.4389671361502347,72,0.0
unsupervised,gbm,0.013398647297725219,0.14326825855077102,0.37832014920573676,0.2676056338028169,72,
supervised,mean,-0.1008077598845889,0.1513334280285128,-0.4341290111139502,-0.3115093399387164,72,
supervised,ridge,0.24910827283173043,0.12498784740172698,0.5688790275901988,0.3896713615023474,72,0.0
supervised,gbm,0.0012486672376457175,0.14414773232913183,0.39025017686024827,0.2879499217527386,72,
combined,mean,-0.1008077598845889,0.1513334280285128,-0.4341290111139502,-0.3115093399387164,72,
combined,ridge,0.5099708999908518,0.10096946712409469,0.6965721268248763,0.5203442879499217,72,0.0
combined,gbm,0.45303903047787364,0.10667368480013975,0.6986301369863014,0.5516431924882629,72,
