feature_set,model,r2,rmse,spearman,kendall,n,p_value
unsupervised,mean,-0.13471352554221805,0.04080005783606468,-0.5213959709384463,-0.3776096506502383,72,
unsupervised,ridge,-0.08843262165702503,0.039959352079553506,0.05553456439954037,0.047348856316191366,72,0.77
unsupervised,gbm,-0.35579649438046634,0.04459795204982151,0.017461070335234755,0.01682645307104321,72,
supervised,mean,-0.13471352554221805,0.04080005783606468,-0.5213959709384463,-0.3776096506502383,72,
supervised,ridge,0.5110673529064306,0.0267819491691819,0.8091099838674203,0.5967521147288581,72,0.0
supervised,gbm,0.54691238089827,0.025781534363936945,0.7597816562537001,0.5654470857594754,72,
combined,mean,-0.13471352554221805,0.04080005783606468,-0.5213959709384463,-0.3776096506502383,72,
combined,ridge,0.6016507316207778,0.02417406440672566,0.8117789872519959,0.6147525063862532,72,0.0
combined,gbm,0.5371857139705813,0.02605679768864196,0.7811819183312299,0.5928389861076853,72,
