feature_set,model,r2,rmse,spearman,kendall,n,p_value
unsupervised,mean,-0.1276209305474103,0.1538882917114959,-0.4201395762932573,-0.2971189628219822,72,
unsupervised,ridge,0.04459887329284529,0.14165010113895637,0.47218470641198795,0.3325508607198748,72,0.005
unsupervised,gbm,0.28270887676724954,0.12273593701660729,0.6062126181748023,0.43740219092331767,72,
supervised,mean,-0.1276209305474103,0.1538882917114959,-0.4201395762932573,-0.2971189628219822,72,
supervised,ridge,-0.1047338407099454,0.1523185662964158,0.18988359380024442,0.1306729264475743,72,0.825
supervised,gbm,-0.05855529076697441,0.14910107956194238,0.2358029455270436,0.15649452269170577,72,
combined,mean,-0.1276209305474103,0.1538882917114959,-0.4201395762932573,-0.2971189628219822,72,
combined,ridge,0.2915864630900048,0.12197404882807653,0.5624477458357452,0.4115805946791862,72,0.0
combined,gbm,0.32264298748356557,0.11927044237129787,0.6361502347417842,0.46870109546165883,72,
