source,target,zeroshot_auc,zeroshot_auprc,zeroshot_balanced_acc,zeroshot_brier,probe_auc,probe_auprc,probe_balanced_acc,auc_source_on_source,pair_failed,pred_entropy_mean,pred_entropy_std,pred_conf_mean,pred_conf_std,pred_frac_confident,pred_positive_rate,pred_prob_mean,pred_prob_std,pseudo_silhouette,pseudo_davies_bouldin,pseudo_fisher,pseudo_collapsed,pseudo_minority_rate,tgt_kmeans_silhouette,tgt_kmeans_balance,tgt_kmeans_inertia_ratio,tgt_eff_rank,tgt_spec_decay,tgt_feat_norm_mean,tgt_feat_norm_std,src_eff_rank,src_spec_decay,src_feat_norm_mean,src_feat_norm_std,mmd,coral,frechet,a_distance,mean_cosine,mean_shift,norm_ratio,delta_eff_rank,delta_spec_decay,delta_feat_norm_mean,abnormal_rate_source,balance_entropy_source,effective_rank_source,spectral_decay_source,silhouette_source,davies_bouldin_source,calinski_harabasz_source,fisher_ratio_source,n_sampled_source,n_samples_source,n_total_source,abnormal_rate_target,balance_entropy_target,effective_rank_target,spectral_decay_target,silhouette_target,davies_bouldin_target,calinski_harabasz_target,fisher_ratio_target,n_sampled_target,n_samples_target,n_total_target,delta_silhouette,delta_davies_bouldin,delta_fisher_ratio,delta_calinski_harabasz,delta_effective_rank,delta_spectral_decay,delta_balance_entropy,delta_abnormal_rate,delta_n_samples,log_n_source,log_n_target,delta_log_n,ceiling,y_raw,y_norm,y_gap,is_diagonal
kermany_peds,kermany_peds,0.9961741007461992,0.9980264405754142,0.9827834533578964,0.0105454062218045,0.994666815534342,0.9975269469127328,0.9754331118926663,0.9961741007461992,0,0.0076476731337606,0.0315937884151935,0.9983814358711244,0.0106724519282579,0.9976290832455216,0.7299789251844047,0.7295066118240356,0.442520797252655,0.6870197653770447,0.4970557675090026,3.301159143447876,0.0,0.2700210748155953,0.6858551502227783,0.526,0.2380714177847408,2.650808572769165,-1.4712636050939192,25.50297737121582,7.6266770362854,2.650808572769165,-1.4712635984238869,25.50297737121582,7.6266770362854,0.0011322067787192,6.255454452563201e-06,0.1309486229693358,0.0,0.9999170303344728,0.262955367565155,0.9981936812400818,0.0,6.670032526301384e-09,0.0,0.735,0.8341980958607491,60.62028121948242,-1.302922576794108,0.1122645512223243,2.566425351317125,227.9431304931641,0.1140856519341468,2000,3796,5840,0.735,0.8341980958607491,60.62028121948242,-1.302922576794108,0.1122645512223243,2.566425351317125,227.9431304931641,0.1140856519341468,2000,3796,5840,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.579326203755255,3.579326203755255,0.0,0.9961741007461992,0.9961741007461992,1.0,0.0,True
kermany_peds,covid_viral,0.9941629647526536,0.9845016351681192,0.91506646971935,0.0986330579502655,0.9999670534228748,0.9999166140488468,0.999261447562777,0.9961741007461992,0,0.1207684502005577,0.1981860548257827,0.9507526755332948,0.1029688268899917,0.8373983739837398,0.4159349593495935,0.4232600629329681,0.4559511840343475,0.4528926908969879,0.811199026176499,1.2157028913497925,0.0,0.4159349593495935,0.4556173086166382,0.905,0.4418403500939656,3.6867871284484863,-1.4457182201544163,22.17594337463379,6.9180402755737305,2.650808572769165,-1.4712635984238869,25.50297737121582,7.6266770362854,0.1903630682988797,0.0109835716833308,100.92343132133202,1.2224869007549195,0.8970850706100464,8.724308967590332,0.8739174604415894,-1.0359785556793213,-0.0255453782694701,3.3270339965820312,0.735,0.8341980958607491,60.62028121948242,-1.302922576794108,0.1122645512223243,2.566425351317125,227.9431304931641,0.1140856519341468,2000,3796,5840,0.2835,0.8601760847021378,71.489990234375,-1.2678131564938198,0.0862289145588874,3.1687273553817024,156.3885498046875,0.0782725512981414,2000,3075,4731,0.026035636663436904,-0.6023020040645775,0.0358131006360054,71.55458068847659,-10.869709014892578,-0.035109420300288186,-0.02597798884138869,0.4515,721,3.579326203755255,3.4878451201114355,0.09148108364381935,0.9999011602686244,0.9941629647526536,0.9942612372662623,0.005738195515970768,False
kermany_peds,covid_opacity,0.9498844381651882,0.9695415941493112,0.8787056089948704,0.0893334329091967,0.9620270456536936,0.9788112941945728,0.8958109757898571,0.9961741007461992,0,0.1112656742334365,0.191308856010437,0.9545976519584656,0.1012109592556953,0.862,0.6554,0.6528576016426086,0.439928650856018,0.4944351315498352,0.8026084190211036,1.3247829675674438,0.0,0.3446,0.4897186756134033,0.629,0.4443500230501052,4.570650577545166,-1.3770129966917162,20.78117561340332,5.552557945251465,2.650808572769165,-1.4712635984238869,25.50297737121582,7.6266770362854,0.1378602029599006,0.0200451817163553,73.15730851031162,1.8649952100212448,0.9614129662513732,5.742444515228272,0.8237757086753845,-1.919842004776001,-0.0942506017321704,4.7218017578125,0.735,0.8341980958607491,60.62028121948242,-1.302922576794108,0.1122645512223243,2.566425351317125,227.9431304931641,0.1140856519341468,2000,3796,5840,0.6645,0.9204472786829074,76.02301025390625,-1.2228975079500874,0.0733859911561012,3.5640133682200728,138.41232299804688,0.0692754387855529,2000,6106,9393,0.0388785600662231,-0.9975880169029478,0.0448102131485939,89.53080749511722,-15.402729034423828,-0.0800250688440205,-0.08624918282215832,0.07050000000000001,-2310,3.579326203755255,3.785756799962643,-0.20643059620738802,0.9779478728745976,0.9498844381651882,0.9713037519812593,0.02806343470940942,False
kermany_peds,covid_covid,0.898771340016759,0.917547262277625,0.8229659468354686,0.1446378370116259,0.9851631987561964,0.9869982879217916,0.9361096808714704,0.9961741007461992,0,0.1518668532371521,0.2171907424926757,0.9359272718429564,0.1173786371946334,0.7981210399825213,0.4985798558007428,0.5014321804046631,0.4514512717723846,0.4230289161205292,0.8809719305103498,1.0945003032684326,0.0,0.4985798558007428,0.4295881986618042,0.922,0.4706807083802923,4.254324436187744,-1.4117696775214374,20.66460609436035,6.342560768127441,2.650808572769165,-1.4712635984238869,25.50297737121582,7.6266770362854,0.2027516704452383,0.0184422037551391,104.48449766244596,1.769992012798261,0.9141858816146852,8.099614143371582,0.8127846717834473,-1.603515863418579,-0.0594939209024492,4.838371276855469,0.735,0.8341980958607491,60.62028121948242,-1.302922576794108,0.1122645512223243,2.566425351317125,227.9431304931641,0.1140856519341468,2000,3796,5840,0.5205,0.9987870748635468,74.50486755371094,-1.2562016990985128,0.0454678647220134,4.358248607612914,102.10873413085938,0.051105473190546,2000,4577,7041,0.0667966865003109,-1.7918232562957894,0.06298017874360079,125.83439636230472,-13.884586334228516,-0.04672087769559519,-0.16458897900279768,0.21450000000000002,-781,3.579326203755255,3.6605809124272994,-0.08125470867204454,0.999507324509596,0.898771340016759,0.8992143608929902,0.10073598449283705,False
kermany_peds,tb_qatar,0.8328469387755103,0.58194016563813,0.7678571428571429,0.1767263324601093,0.999234693877551,0.995911529354345,0.9857142857142858,0.9961741007461992,0,0.167315736413002,0.218946099281311,0.9304782152175904,0.1189189851284027,0.7783882783882784,0.2831501831501831,0.2931888103485107,0.3958312273025512,0.3659764230251312,0.9480750616595064,0.731397807598114,0.0,0.2831501831501831,0.3746951818466186,0.996,0.5178051350950341,4.868934631347656,-1.4084313118562888,21.491586685180664,6.549032688140869,2.650808572769165,-1.4712635984238869,25.50297737121582,7.6266770362854,0.3893630019502359,0.0281009336789164,219.06087375208384,1.9624859169940017,0.7889730334281921,12.571845054626465,0.8427914381027222,-2.218126058578491,-0.0628322865675978,4.011390686035156,0.735,0.8341980958607491,60.62028121948242,-1.302922576794108,0.1122645512223243,2.566425351317125,227.9431304931641,0.1140856519341468,2000,3796,5840,0.171,0.6599872509666215,78.58036804199219,-1.2562149303523156,0.1371568888425827,3.006753197430072,135.3796844482422,0.0677575916051864,2000,2730,4200,-0.0248923376202584,-0.4403278461129472,0.04632806032896039,92.5634460449219,-17.960086822509766,-0.04670764644179237,0.17421084489412764,0.564,1066,3.579326203755255,3.436162647040756,0.14316355671449887,1.0,0.8328469387755103,0.8328469387755103,0.1671530612244897,False
kermany_peds,shenzhen,0.4723306544202066,0.5245418608628707,0.4902411021814007,0.4701703159464927,0.9005740528128587,0.9008283877868992,0.8405281285878301,0.9961741007461992,0,0.126566544175148,0.2073313593864441,0.9468093514442444,0.1088083088397979,0.8329466357308585,0.1136890951276102,0.1248738467693328,0.2660041153430938,0.3087267279624939,0.8302991496454613,0.3503043949604034,0.0,0.1136890951276102,0.4235969185829162,0.877030162412993,0.4533772404046876,3.59256649017334,-1.5991655763315882,24.377351760864254,7.983980178833008,2.650808572769165,-1.4712635984238869,25.50297737121582,7.6266770362854,0.5267384452591053,0.0342972361512241,390.08256146600496,1.951227424683006,0.6765212416648865,17.460128784179688,0.9558629989624025,-0.9417579174041748,0.1279019779077015,1.1256256103515625,0.735,0.8341980958607491,60.62028121948242,-1.302922576794108,0.1122645512223243,2.566425351317125,227.9431304931641,0.1140856519341468,2000,3796,5840,0.5081206496519721,0.9998097147270212,55.51067352294922,-1.4260285384199356,0.0405756384134292,4.6401739175691885,19.4136962890625,0.0452533699572086,431,431,662,0.07168891280889511,-2.0737485662520636,0.06883228197693819,208.5294342041016,5.109607696533203,0.12310596162582765,-0.16561161886627207,0.22687935034802786,3365,3.579326203755255,2.6344772701607315,0.9448489335945234,0.9524684270952928,0.4723306544202066,0.49590163934426224,0.48013777267508617,False
kermany_peds,nih_pa,0.6730908862733849,0.6077914958667974,0.6145468235969056,0.294541976661974,0.6460643437883773,0.5848611670284309,0.5982771139417518,0.9961741007461992,0,0.2014338821172714,0.2320938110351562,0.9137571454048156,0.1308660954236984,0.7352674524025385,0.2669990933816863,0.2890428602695465,0.3792334198951721,0.3216326236724853,0.9384911743075756,0.6176798939704895,0.0,0.2669990933816863,0.4033707976341247,0.807,0.4927293471318897,4.530689239501953,-1.4024318197882073,20.249313354492188,6.561431407928467,2.650808572769165,-1.4712635984238869,25.50297737121582,7.6266770362854,0.4606668393315288,0.0331049676236151,240.9454517441106,1.9649968496227743,0.7734826803207397,12.855420112609863,0.7978482842445374,-1.879880666732788,-0.0688317786356793,5.253664016723633,0.735,0.8341980958607491,60.62028121948242,-1.302922576794108,0.1122645512223243,2.566425351317125,227.9431304931641,0.1140856519341468,2000,3796,5840,0.4145,0.978803059263637,82.91738891601562,-1.2674044308975745,0.0073435269296169,11.584819836626384,14.21144676208496,0.0071128364652395,2000,2206,3393,0.1049210242927074,-9.018394485309258,0.1069728154689073,213.73168373107913,-22.297107696533203,-0.03551814589653346,-0.14460496340288786,0.3205,1590,3.579326203755255,3.343605508104172,0.2357206956510831,0.7007807667829002,0.6730908862733849,0.9604870997863821,0.027689880509515374,False
kermany_peds,nih_ap,0.7059354547506206,0.6997913875496375,0.5948790545946944,0.3531563811445845,0.6481196528589892,0.6509005896735285,0.6057323403294967,0.9961741007461992,0,0.1333731263875961,0.2076687961816787,0.9441111087799072,0.111611284315586,0.8214037526059764,0.8401667824878388,0.8320205807685852,0.3153632879257202,0.4071007668972015,0.9593993452967672,0.5677139759063721,0.0,0.1598332175121612,0.3745234608650207,0.6087560806115357,0.5861375785990427,10.021566390991213,-1.339778426839028,20.315763473510746,3.2949435710906982,2.650808572769165,-1.4712635984238869,25.50297737121582,7.6266770362854,0.1839123799132872,0.0459255627438832,140.28060555492095,1.9874968671899336,0.955625593662262,5.871403217315674,0.7966036200523376,-7.370757818222046,-0.1314851715848586,5.187213897705078,0.735,0.8341980958607491,60.62028121948242,-1.302922576794108,0.1122645512223243,2.566425351317125,227.9431304931641,0.1140856519341468,2000,3796,5840,0.5225851285615011,0.998527696142926,83.48782348632812,-1.2218535497412069,0.0082504833117127,10.507713330428723,12.71337604522705,0.0088471649214625,1439,1439,2213,0.1040140679106116,-7.941287979111598,0.1052384870126843,215.22975444793704,-22.867542266845703,-0.08106902705290109,-0.1643296002821769,0.2124148714384989,2357,3.579326203755255,3.158060793936605,0.4212654098186497,0.7072074844586693,0.7059354547506206,0.9982013344937626,0.0012720297080487386,False
kermany_peds,indiana,0.6574627512127512,0.7528982513916368,0.6094652344652345,0.3819341042900299,0.7318881381381381,0.8087892654715756,0.6571667821667821,0.9961741007461992,0,0.1931671500205993,0.2284288704395294,0.9190133810043336,0.1243691742420196,0.7303506650544136,0.3345425231761386,0.3366762101650238,0.4054198265075683,0.3453040719032287,0.9334782655969608,0.7633368968963623,0.0,0.3345425231761386,0.4256600439548492,0.794,0.4688835420784196,4.048893451690674,-1.4203429796434568,20.791452407836918,7.3533830642700195,2.650808572769165,-1.4712635984238869,25.50297737121582,7.6266770362854,0.364832054645944,0.0272666489535607,209.96839004369656,1.9624999707214013,0.7965686321258545,12.17286205291748,0.8113971948623657,-1.3980848789215088,-0.0509206187804298,4.711524963378906,0.735,0.8341980958607491,60.62028121948242,-1.302922576794108,0.1122645512223243,2.566425351317125,227.9431304931641,0.1140856519341468,2000,3796,5840,0.614,0.9621696332193178,80.06614685058594,-1.277819005671636,0.0067834663204848,9.88090752400818,18.895851135253903,0.0094573823735117,2000,2481,3818,0.1054810849018395,-7.314482172691054,0.1046282695606351,209.04727935791018,-19.445865631103516,-0.025103571122471857,-0.1279715373585687,0.121,1315,3.579326203755255,3.394626764272209,0.18469943948304568,0.7387531762531762,0.6574627512127512,0.8899626727119937,0.08129042504042494,False
covid_viral,kermany_peds,0.9858352407004224,0.991654134874892,0.953454660488658,0.0247299753103607,0.9946184335398872,0.9972343638711914,0.9707437801224436,0.9999011602686244,0,0.0417332835495471,0.1195591688156127,0.9843804836273192,0.0607715658843517,0.9567966280295048,0.7473656480505796,0.7461912631988525,0.4215536117553711,0.598648190498352,0.5684311248817323,1.9707380533218384,0.0,0.2526343519494204,0.6011581420898438,0.51,0.3314981811119863,2.667258977890014,-1.521881693070768,29.95524787902832,7.900742530822754,3.061985492706299,-1.5115258321414249,26.5628719329834,5.964169025421143,0.3435268780530193,0.0261472761882253,369.1412701536324,1.2174884583763728,0.7536588907241821,16.943410873413086,1.1250391006469729,0.3947265148162842,0.0103558609293432,-3.392375946044922,0.2835,0.8601760847021378,71.489990234375,-1.2678131564938198,0.0862289145588874,3.1687273553817024,156.3885498046875,0.0782725512981414,2000,3075,4731,0.735,0.8341980958607491,60.62028121948242,-1.302922576794108,0.1122645512223243,2.566425351317125,227.9431304931641,0.1140856519341468,2000,3796,5840,-0.026035636663436904,0.6023020040645775,-0.0358131006360054,-71.55458068847659,10.869709014892578,0.035109420300288186,0.02597798884138869,-0.4515,-721,3.4878451201114355,3.579326203755255,-0.09148108364381935,0.9961741007461992,0.9858352407004224,0.9896214326009557,0.010338860045776777,False
