source,target,transfer_auc,transfer_auprc,transfer_balanced_acc,transfer_macro_f1,auc_source_on_source
pneumoniamnist,pneumoniamnist,0.9677295638834101,0.9776879552558423,0.8072649572649573,0.8280976123659283,0.9665954415954416
pneumoniamnist,breastmnist,0.7997076023391813,0.8913892175512811,0.7211779448621554,0.732743851892788,0.9665954415954416
pneumoniamnist,bloodmnist,0.9674133966734294,0.8341580602512964,0.7703374558067617,0.7737462366297105,0.9665954415954416
breastmnist,pneumoniamnist,0.915790050405435,0.9162915254332481,0.7598290598290598,0.7771840177307148,0.7548036758563075
breastmnist,breastmnist,0.899749373433584,0.9549842594740608,0.81328320802005,0.8180275715800636,0.7548036758563075
breastmnist,bloodmnist,0.9668675140130862,0.8226029289004936,0.7619907567774311,0.7642371190046298,0.7548036758563075
bloodmnist,pneumoniamnist,0.9457045803199651,0.9661119667987843,0.7735042735042734,0.7912789636927569,0.9968797963274947
bloodmnist,breastmnist,0.83375104427736,0.9146521186182894,0.7669172932330828,0.787417669770611,0.9968797963274947
bloodmnist,bloodmnist,0.9974668791998196,0.9846428902053521,0.9548469848375059,0.9561412024028446,0.9968797963274947
