source,target,transfer_auc,transfer_auprc,transfer_balanced_acc,transfer_macro_f1,auc_source_on_source
pneumoniamnist,pneumoniamnist,0.9652202498356345,0.9679788395639658,0.8269230769230769,0.8483105096831699,0.9680473372781064
pneumoniamnist,breastmnist,0.8441938178780285,0.91400160666458,0.7418546365914787,0.7564674397859055,0.9680473372781064
pneumoniamnist,bloodmnist,0.9666689196771927,0.8286705864847609,0.7681797797195554,0.7691831430997402,0.9680473372781064
breastmnist,pneumoniamnist,0.910771422309884,0.9134575071470236,0.7713675213675213,0.7890652836612693,0.7608604845446951
breastmnist,breastmnist,0.881578947368421,0.9515471922759147,0.7850877192982456,0.7915664582331249,0.7608604845446951
breastmnist,bloodmnist,0.9657072894267074,0.820110128781512,0.7625400677422145,0.7650008292467427,0.7608604845446951
bloodmnist,pneumoniamnist,0.9286872671488058,0.9550377732311082,0.7623931623931623,0.7803359683794466,0.9947800130042072
bloodmnist,breastmnist,0.8548454469507101,0.9237445359572737,0.7362155388471178,0.7415424082090749,0.9947800130042072
bloodmnist,bloodmnist,0.9972750800992867,0.9846503396021283,0.9534063215406121,0.9545292504525686,0.9947800130042072
