source,target,transfer_auc,transfer_auprc,transfer_balanced_acc,transfer_macro_f1,auc_source_on_source,auc_target_ceiling,n_samples_source,n_classes_source,balance_entropy_source,effective_rank_source,silhouette_source,davies_bouldin_source,calinski_harabasz_source,fisher_ratio_source,n_samples_target,n_classes_target,balance_entropy_target,effective_rank_target,silhouette_target,davies_bouldin_target,calinski_harabasz_target,fisher_ratio_target,delta_silhouette,delta_davies_bouldin,delta_fisher_ratio,delta_calinski_harabasz,delta_effective_rank,delta_balance_entropy,delta_n_samples,delta_n_classes,log_n_source,log_n_target,delta_log_n,y_raw,y_norm,y_gap,is_diagonal
pneumoniamnist,pneumoniamnist,0.9652202498356344,0.9679788395639658,0.8269230769230769,0.8483105096831699,0.9680473372781064,0.9652202498356344,4708,2,0.8234983018851827,52.19195556640625,0.0934813618659973,3.2267650969583683,341.62213134765625,0.0725928843021392,4708,2,0.8234983018851827,52.19195556640625,0.0934813618659973,3.2267650969583683,341.62213134765625,0.0725928843021392,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.672836454171397,3.672836454171397,0.0,0.9652202498356344,1.0,0.0,True
pneumoniamnist,breastmnist,0.8441938178780285,0.91400160666458,0.7418546365914787,0.7564674397859055,0.9680473372781064,0.881578947368421,4708,2,0.8234983018851827,52.19195556640625,0.0934813618659973,3.2267650969583683,341.62213134765625,0.0725928843021392,546,2,0.8403586716091171,56.90912628173828,0.0126629052683711,6.624280549039915,8.939186096191406,0.0164323281496763,0.0808184565976262,-3.3975154520815463,0.056160556152462904,332.68294525146484,-4.717170715332031,-0.016860369723934454,4162,0,3.672836454171397,2.7371926427047373,0.9356438114666599,0.8441938178780285,0.9575929874437339,0.03738512949039252,False
pneumoniamnist,bloodmnist,0.9666689196771928,0.8286705864847609,0.7681797797195554,0.7691831430997402,0.9680473372781064,0.9972750800992868,4708,2,0.8234983018851827,52.19195556640625,0.0934813618659973,3.2267650969583683,341.62213134765625,0.0725928843021392,5000,8,0.9646671359339408,49.55620956420898,0.0105848303064703,4.878300787027571,165.48854064941406,0.2320552319288253,0.082896531559527,-1.651535690069203,-0.1594623476266861,176.1335906982422,2.6357460021972727,-0.14116883404875813,-292,-6,3.672836454171397,3.6989700043360187,-0.0261335501646216,0.9666689196771928,0.9693102123648303,0.030606160422093964,False
breastmnist,pneumoniamnist,0.910771422309884,0.9134575071470236,0.7713675213675213,0.7890652836612693,0.7608604845446951,0.9652202498356344,546,2,0.8403586716091171,56.90912628173828,0.0126629052683711,6.624280549039915,8.939186096191406,0.0164323281496763,4708,2,0.8234983018851827,52.19195556640625,0.0934813618659973,3.2267650969583683,341.62213134765625,0.0725928843021392,-0.0808184565976262,3.3975154520815463,-0.056160556152462904,-332.68294525146484,4.717170715332031,0.016860369723934454,-4162,0,2.7371926427047373,3.672836454171397,-0.9356438114666599,0.910771422309884,0.9435892196262745,0.05444882752575042,False
breastmnist,breastmnist,0.881578947368421,0.9515471922759148,0.7850877192982456,0.7915664582331249,0.7608604845446951,0.881578947368421,546,2,0.8403586716091171,56.90912628173828,0.0126629052683711,6.624280549039915,8.939186096191406,0.0164323281496763,546,2,0.8403586716091171,56.90912628173828,0.0126629052683711,6.624280549039915,8.939186096191406,0.0164323281496763,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.7371926427047373,2.7371926427047373,0.0,0.881578947368421,1.0,0.0,True
breastmnist,bloodmnist,0.9657072894267074,0.820110128781512,0.7625400677422145,0.7650008292467427,0.7608604845446951,0.9972750800992868,546,2,0.8403586716091171,56.90912628173828,0.0126629052683711,6.624280549039915,8.939186096191406,0.0164323281496763,5000,8,0.9646671359339408,49.55620956420898,0.0105848303064703,4.878300787027571,165.48854064941406,0.2320552319288253,0.0020780749619007995,1.7459797620123432,-0.215622903779149,-156.54935455322266,7.352916717529304,-0.12430846432482368,-4454,-6,2.7371926427047373,3.6989700043360187,-0.9617773616312815,0.9657072894267074,0.9683459545891424,0.03156779067257942,False
bloodmnist,pneumoniamnist,0.9286872671488058,0.9550377732311082,0.7623931623931623,0.7803359683794466,0.9947800130042072,0.9652202498356344,5000,8,0.9646671359339408,49.55620956420898,0.0105848303064703,4.878300787027571,165.48854064941406,0.2320552319288253,4708,2,0.8234983018851827,52.19195556640625,0.0934813618659973,3.2267650969583683,341.62213134765625,0.0725928843021392,-0.082896531559527,1.651535690069203,0.1594623476266861,-176.1335906982422,-2.6357460021972727,0.14116883404875813,292,6,3.6989700043360187,3.672836454171397,0.0261335501646216,0.9286872671488058,0.9621506255250554,0.036532982686828586,False
bloodmnist,breastmnist,0.8548454469507101,0.9237445359572736,0.7362155388471178,0.7415424082090749,0.9947800130042072,0.881578947368421,5000,8,0.9646671359339408,49.55620956420898,0.0105848303064703,4.878300787027571,165.48854064941406,0.2320552319288253,546,2,0.8403586716091171,56.90912628173828,0.0126629052683711,6.624280549039915,8.939186096191406,0.0164323281496763,-0.0020780749619007995,-1.7459797620123432,0.215622903779149,156.54935455322266,-7.352916717529304,0.12430846432482368,4454,6,3.6989700043360187,2.7371926427047373,0.9617773616312815,0.8548454469507101,0.9696754323619995,0.026733500417710943,False
bloodmnist,bloodmnist,0.9972750800992868,0.9846503396021284,0.953406321540612,0.9545292504525686,0.9947800130042072,0.9972750800992868,5000,8,0.9646671359339408,49.55620956420898,0.0105848303064703,4.878300787027571,165.48854064941406,0.2320552319288253,5000,8,0.9646671359339408,49.55620956420898,0.0105848303064703,4.878300787027571,165.48854064941406,0.2320552319288253,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3.6989700043360187,3.6989700043360187,0.0,0.9972750800992868,1.0,0.0,True
