source,target,transfer_auc,transfer_auprc,transfer_balanced_acc,transfer_macro_f1,auc_source_on_source
pathmnist,pathmnist,0.9887991306555376,0.9277755946535957,0.8810331591301854,0.8764533443393513,0.991480539871593
pathmnist,dermamnist,0.865847851885466,0.3912630809713404,0.3763136859057976,0.39608620407765516,0.991480539871593
pathmnist,octmnist,0.8722679999999999,0.7115943006566408,0.569,0.49820934723166077,0.991480539871593
pathmnist,pneumoniamnist,0.9008985316677625,0.9100041310913202,0.7666666666666666,0.7836891078270388,0.991480539871593
pathmnist,retinamnist,0.6803791994426145,0.329809486057929,0.3613178704765264,0.3606773059952251,0.991480539871593
pathmnist,breastmnist,0.8241436925647452,0.9202866001322973,0.7568922305764412,0.7646551724137931,0.991480539871593
pathmnist,bloodmnist,0.9661132678666311,0.8227390145069331,0.7648659045811729,0.7653987386678565,0.991480539871593
pathmnist,tissuemnist,0.7954225936150908,0.3414570439451764,0.32390746222247646,0.32329000248975553,0.991480539871593
pathmnist,organamnist,0.9765043663334592,0.8649595178947098,0.798635475580587,0.8082489171009798,0.991480539871593
pathmnist,organcmnist,0.9788003833748234,0.8712252167253246,0.809749612334583,0.8100045939533096,0.991480539871593
pathmnist,organsmnist,0.948896148261754,0.6788847118575615,0.6369954617035858,0.6440241748307403,0.991480539871593
dermamnist,pathmnist,0.9606753624195439,0.7955020232513976,0.7408804676263029,0.7239765108837265,0.9307578242753383
dermamnist,dermamnist,0.8958143135218847,0.5446921438877939,0.5118502799031271,0.5277107532845494,0.9307578242753383
dermamnist,octmnist,0.8341786666666666,0.6196234852826343,0.536,0.47096271743052104,0.9307578242753383
dermamnist,pneumoniamnist,0.9227701073854921,0.9461884110404759,0.7662393162393162,0.7839540405974723,0.9307578242753383
dermamnist,retinamnist,0.6649514596006065,0.31690773570598335,0.2955072463768116,0.2953168442160145,0.9307578242753383
dermamnist,breastmnist,0.8796992481203009,0.9521571329702659,0.7957393483709273,0.7913150854085202,0.9307578242753383
dermamnist,bloodmnist,0.9668542248004863,0.8228767861337015,0.7787261962778106,0.7793859793525204,0.9307578242753383
dermamnist,tissuemnist,0.7771699563068739,0.3332762763544011,0.337847369966883,0.3415457088248808,0.9307578242753383
dermamnist,organamnist,0.9703073307770452,0.8382087418794555,0.7822697964239844,0.7905014251392942,0.9307578242753383
dermamnist,organcmnist,0.971198792862316,0.8497070959017511,0.7986102667300696,0.8024411727724541,0.9307578242753383
dermamnist,organsmnist,0.9401902949258996,0.6608131266574762,0.6180086001815114,0.6223859682204811,0.9307578242753383
octmnist,pathmnist,0.9451593462600663,0.7267412106235099,0.7011255902831339,0.693178254847208,0.9391173333333334
octmnist,dermamnist,0.8896651987171118,0.4504428332107126,0.3958178631059978,0.41956548486384193,0.9391173333333334
octmnist,octmnist,0.9208466666666666,0.8153585390419199,0.7190000000000001,0.6933304238200786,0.9391173333333334
octmnist,pneumoniamnist,0.9338812184966032,0.9564590389313024,0.7658119658119658,0.7830372828420846,0.9391173333333334
octmnist,retinamnist,0.7037173738343132,0.35294466637702826,0.35943175471087985,0.3612188287650751,0.9391173333333334
octmnist,breastmnist,0.8477443609022555,0.9391113612326679,0.7493734335839599,0.7606837606837606,0.9391173333333334
octmnist,bloodmnist,0.9668538359012606,0.8305219466168483,0.7672664834189207,0.7724563794805073,0.9391173333333334
octmnist,tissuemnist,0.8108302739999018,0.3582899074893333,0.3517732052644592,0.35382059697969104,0.9391173333333334
octmnist,organamnist,0.9653047353971419,0.8334884282054442,0.7715615923458156,0.7794545378467448,0.9391173333333334
octmnist,organcmnist,0.9688908397858476,0.8312980578145818,0.7843059221575501,0.7881872366316217,0.9391173333333334
octmnist,organsmnist,0.9261008484146803,0.6180252170715396,0.5961012837956264,0.5994038302776957,0.9391173333333334
pneumoniamnist,pathmnist,0.9565823653960616,0.7644165444403881,0.7379023869434794,0.7214391967228535,0.9680473372781064
pneumoniamnist,dermamnist,0.8781519441687661,0.4054991648298521,0.4179869759983769,0.41854920768886383,0.9680473372781064
pneumoniamnist,octmnist,0.845012,0.6548262055851484,0.534,0.46864429237555566,0.9680473372781064
pneumoniamnist,pneumoniamnist,0.9652202498356345,0.9679788395639658,0.8269230769230769,0.8483105096831699,0.9680473372781064
pneumoniamnist,retinamnist,0.650777789879311,0.3033400408999091,0.28667930740512093,0.2855077482095865,0.9680473372781064
pneumoniamnist,breastmnist,0.8441938178780285,0.91400160666458,0.7418546365914787,0.7564674397859055,0.9680473372781064
pneumoniamnist,bloodmnist,0.9666689196771927,0.8286705864847609,0.7681797797195554,0.7691831430997402,0.9680473372781064
pneumoniamnist,tissuemnist,0.7758206351569767,0.34150687732869683,0.33568859147817603,0.3375803991612473,0.9680473372781064
pneumoniamnist,organamnist,0.9773374681182212,0.8789890281271956,0.7964843829894966,0.8056695714593425,0.9680473372781064
pneumoniamnist,organcmnist,0.9774791648093474,0.8724518218697341,0.806844566327499,0.8111567186977543,0.9680473372781064
pneumoniamnist,organsmnist,0.9413106766429148,0.6489713574167129,0.5995720359739829,0.6056803636194785,0.9680473372781064
retinamnist,pathmnist,0.9511810926526691,0.7497583445782982,0.7135483810518675,0.7000312674781227,0.7268948661587401
retinamnist,dermamnist,0.8873379186689674,0.39496295157273886,0.4148612333119584,0.42319527904584114,0.7268948661587401
retinamnist,octmnist,0.8457693333333334,0.6515260534643189,0.556,0.49836579225630484,0.7268948661587401
retinamnist,pneumoniamnist,0.9271860618014464,0.9442497026899388,0.7495726495726496,0.7656590531305794,0.7268948661587401
retinamnist,retinamnist,0.7177874934671825,0.37555343312367534,0.3642561072404974,0.36802219073286835,0.7268948661587401
retinamnist,breastmnist,0.8389724310776943,0.9206048639176976,0.7180451127819549,0.7342720872132638,0.7268948661587401
retinamnist,bloodmnist,0.9647751942929355,0.8264620653948302,0.7659164792814149,0.7683035476023896,0.7268948661587401
retinamnist,tissuemnist,0.8014543838835314,0.35375771973325676,0.3474146297531412,0.3458224826341534,0.7268948661587401
retinamnist,organamnist,0.9758115727986785,0.8754970760490319,0.8075784292041844,0.8151930876197266,0.7268948661587401
retinamnist,organcmnist,0.9738756335108495,0.8630597575571808,0.8145040942056084,0.8163272232569466,0.7268948661587401
retinamnist,organsmnist,0.9386189641915099,0.6391669677552693,0.6068106698204065,0.6149453156206589,0.7268948661587401
breastmnist,pathmnist,0.9525502278407472,0.7124447826323288,0.6987244438905643,0.6913261678701448,0.7608604845446951
breastmnist,dermamnist,0.8676794298367173,0.3830949539370568,0.3793054893497677,0.3921609427057936,0.7608604845446951
breastmnist,octmnist,0.8343106666666666,0.6376804681749634,0.531,0.4657936936342266,0.7608604845446951
breastmnist,pneumoniamnist,0.910771422309884,0.9134575071470236,0.7713675213675213,0.7890652836612693,0.7608604845446951
breastmnist,retinamnist,0.6596113745975277,0.3268626698596756,0.3027509774524503,0.3049846756260631,0.7608604845446951
breastmnist,breastmnist,0.881578947368421,0.9515471922759147,0.7850877192982456,0.7915664582331249,0.7608604845446951
breastmnist,bloodmnist,0.9657072894267074,0.820110128781512,0.7625400677422145,0.7650008292467427,0.7608604845446951
breastmnist,tissuemnist,0.7940804540750017,0.34323726368171437,0.33875070285815495,0.3385917528291258,0.7608604845446951
breastmnist,organamnist,0.9769750100441047,0.8689340168184363,0.8086196075853586,0.8132782260312236,0.7608604845446951
breastmnist,organcmnist,0.9738133578479174,0.8508119909640827,0.7947008408511497,0.7985714668856012,0.7608604845446951
breastmnist,organsmnist,0.9477264491701515,0.6843640252314264,0.6477384183284931,0.6495077915521,0.7608604845446951
bloodmnist,pathmnist,0.9646409793532974,0.76056526550502,0.7359914438469968,0.7271451453518849,0.9947800130042072
bloodmnist,dermamnist,0.8753107340164752,0.4193355771067696,0.4000597546816702,0.42532189207018917,0.9947800130042072
bloodmnist,octmnist,0.869676,0.692176567339918,0.5720000000000001,0.5106469341693467,0.9947800130042072
bloodmnist,pneumoniamnist,0.9286872671488058,0.9550377732311082,0.7623931623931623,0.7803359683794466,0.9947800130042072
bloodmnist,retinamnist,0.6739918486163309,0.3293095787966035,0.335968192374401,0.3350712542686688,0.9947800130042072
bloodmnist,breastmnist,0.8548454469507101,0.9237445359572737,0.7362155388471178,0.7415424082090749,0.9947800130042072
bloodmnist,bloodmnist,0.9972750800992867,0.9846503396021283,0.9534063215406121,0.9545292504525686,0.9947800130042072
bloodmnist,tissuemnist,0.8090141696109155,0.37192178449325475,0.3525614465158217,0.35602939518554577,0.9947800130042072
bloodmnist,organamnist,0.9747033230860425,0.8588986984064033,0.7871926021078067,0.7953144390877569,0.9947800130042072
bloodmnist,organcmnist,0.9729043235892288,0.852701739387222,0.8021871413845086,0.8029159993931096,0.9947800130042072
bloodmnist,organsmnist,0.9452296677122853,0.6761452797490457,0.6334429749165313,0.6377298494482209,0.9947800130042072
tissuemnist,pathmnist,0.9460879625687786,0.7155530151762228,0.6785601294083092,0.6639326175400797,0.8866080447650607
tissuemnist,dermamnist,0.8701399704423068,0.392787757482337,0.39452741799784363,0.4148421649153062,0.8866080447650607
tissuemnist,octmnist,0.8239333333333333,0.6117446705203422,0.54,0.47310473357820715,0.8866080447650607
tissuemnist,pneumoniamnist,0.9284023668639053,0.9527130020294649,0.7606837606837606,0.7778759758432758,0.8866080447650607
tissuemnist,retinamnist,0.6286291567788206,0.3080579234937698,0.33591557162595176,0.33542750651417746,0.8866080447650607
tissuemnist,breastmnist,0.8949456975772765,0.9592257288902559,0.7700501253132832,0.7844708483006355,0.8866080447650607
tissuemnist,bloodmnist,0.9773084720361411,0.870113965302372,0.8142663167678243,0.8180878795911197,0.8866080447650607
tissuemnist,tissuemnist,0.8499327391810181,0.48614614944767554,0.4732491397463219,0.47730248698577327,0.8866080447650607
tissuemnist,organamnist,0.9656620961379171,0.836905352777035,0.7919066315944844,0.7989652000472076,0.8866080447650607
tissuemnist,organcmnist,0.9707075734391278,0.8477116183483162,0.8055086160716428,0.8076140475110157,0.8866080447650607
tissuemnist,organsmnist,0.9368766330273768,0.6479895413411508,0.6163096954461215,0.6231894511300947,0.8866080447650607
organamnist,pathmnist,0.9576740160077387,0.7880700928765894,0.7470215660720728,0.7327035359400174,0.9967487258718726
organamnist,dermamnist,0.8830568144041576,0.43155363202611324,0.423464960120603,0.4358037591817118,0.9967487258718726
organamnist,octmnist,0.8685866666666666,0.6921817509381096,0.577,0.5120545831284107,0.9967487258718726
organamnist,pneumoniamnist,0.9594236248082402,0.9742424371109144,0.7888888888888889,0.8076006916315006,0.9967487258718726
organamnist,retinamnist,0.6538413582179607,0.3074010963741777,0.2987135843842785,0.2962468213485597,0.9967487258718726
organamnist,breastmnist,0.8947368421052633,0.9497000419239858,0.8157894736842105,0.8405632523279583,0.9967487258718726
organamnist,bloodmnist,0.9611299470794369,0.8114187996283858,0.757499702055376,0.7600270580137121,0.9967487258718726
organamnist,tissuemnist,0.7915794218247985,0.3477881396768496,0.3390794605776582,0.3417698625257085,0.9967487258718726
organamnist,organamnist,0.9959844367786279,0.9783693369906469,0.9340068309658132,0.9376016648292353,0.9967487258718726
organamnist,organcmnist,0.9839677525145093,0.9113088561285809,0.8523846452526856,0.8545832702638951,0.9967487258718726
organamnist,organsmnist,0.9576745587931842,0.7150641395667879,0.6697543256457744,0.6749102154379866,0.9967487258718726
organcmnist,pathmnist,0.9528861354696355,0.7734875109341764,0.7353496012275912,0.7226292141704102,0.9955970632429818
organcmnist,dermamnist,0.8821949961329782,0.4186371786393223,0.4103743554488299,0.42952710570827296,0.9955970632429818
organcmnist,octmnist,0.8629453333333332,0.6856155099724508,0.5720000000000001,0.49688026724710266,0.9955970632429818
organcmnist,pneumoniamnist,0.9148915187376726,0.9141042380961995,0.7871794871794873,0.8064586754241927,0.9955970632429818
organcmnist,retinamnist,0.6631127966649892,0.3375921150059657,0.3300705529588147,0.33652199561088997,0.9955970632429818
organcmnist,breastmnist,0.8063909774436091,0.8987912104959911,0.7092731829573935,0.7216770740410348,0.9955970632429818
organcmnist,bloodmnist,0.9557368410962293,0.7833821063058397,0.7267261723552298,0.729395200866692,0.9955970632429818
organcmnist,tissuemnist,0.7821865757176464,0.336753903029355,0.33309241481335516,0.33456272319618613,0.9955970632429818
organcmnist,organamnist,0.9870259511839561,0.9255059602624883,0.8583649205280088,0.8625730772082509,0.9955970632429818
organcmnist,organcmnist,0.993326738139542,0.9643421032654422,0.9197089848363177,0.9199126697135511,0.9955970632429818
organcmnist,organsmnist,0.9703833821635339,0.7665561993679653,0.7060562571990853,0.7087563535955976,0.9955970632429818
organsmnist,pathmnist,0.956673819422434,0.7683344659511627,0.7247314293632837,0.7138286442616979,0.9797131836106875
organsmnist,dermamnist,0.8815129924899627,0.4457114122752624,0.42815697513414686,0.45047210602476506,0.9797131836106875
organsmnist,octmnist,0.864972,0.675731690020628,0.595,0.5279760085375235,0.9797131836106875
organsmnist,pneumoniamnist,0.9529037913653298,0.9704418553090719,0.8222222222222222,0.8429153680172621,0.9797131836106875
organsmnist,retinamnist,0.6468143580996049,0.29707710820679045,0.29861275244730573,0.29588892639508235,0.9797131836106875
organsmnist,breastmnist,0.8540100250626567,0.9149982014617234,0.7926065162907268,0.7948124375230179,0.9797131836106875
organsmnist,bloodmnist,0.9615160841917919,0.8025096744724047,0.7536095329885601,0.756174097467591,0.9797131836106875
organsmnist,tissuemnist,0.7751701101517233,0.32505076988311254,0.3135110622680457,0.3123722429090146,0.9797131836106875
organsmnist,organamnist,0.9831612227093897,0.9001022035972983,0.820210508208763,0.830712908512059,0.9797131836106875
organsmnist,organcmnist,0.9883694406718628,0.9239653478038794,0.8635351183323081,0.8663877846645697,0.9797131836106875
